date,time,open,high,low,close,volume
20231228,50000,17889.5,17905.5,17836.5,17866.5,66674
20231228,134500,17874.5,17911.5,17845.5,17889.5,113324
20231229,50000,17894.5,17895.5,17851.5,17865.5,44188
20231229,134500,17877.5,17924.5,17852.5,17892.5,113092
20231230,50000,17895.5,17902.5,17790.4,17850.5,67368
20240102,134500,17862.5,17944.6,17775.4,17822.4,165668
20240103,50000,17817.4,17841.4,17676.3,17698.3,103670
20240103,134500,17682.2,17691.2,17531.1,17570.1,195762
20240104,50000,17568.1,17609.1,17503.1,17560.1,103812
20240104,134500,17549.1,17607.1,17549.1,17570.1,115420
20240105,50000,17595.1,17633.1,17563.1,17579.1,86446
20240105,134500,17601.1,17650.2,17515.1,17543.1,154774
20240106,50000,17534,17629.1,17476,17571.1,134636
20240108,134500,17596.1,17730.3,17592.2,17619.2,174036
20240109,50000,17619.2,17798.4,17559.1,17791.4,110720
20240109,134500,17794.4,17806.4,17550.1,17569.1,192598
20240110,50000,17568.1,17579.1,17455,17531,131890
20240110,134500,17533,17545,17463,17482,140944
20240111,50000,17474,17559,17465,17493,99048
20240111,134500,17514,17630.1,17505.1,17599.1,176214
20240112,50000,17595.1,17619.1,17420.9,17509,155332
20240112,134500,17490,17594.1,17471,17513,182838
20240113,50000,17511,17559,17435,17516,116306
20240115,134500,17604.1,17679.2,17551.1,17583.1,331438
20240116,50000,17593.1,17600.1,17554.1,17596.1,43098
20240116,134500,17504,17523,17344.8,17356.8,270562
20240117,50000,17365.8,17398.8,17308.8,17351.8,103676
20240117,134500,17336.8,17367.8,17192.7,17210.6,146928
20240118,50000,17179.7,17219.6,17137.8,17200.7,100944
20240118,134500,17215.6,17301.5,17190.7,17255.6,181392
20240119,50000,17351.4,17491.2,17308.6,17490.2,171478
20240119,134500,17516.2,17659,17479.3,17653,223714
20240120,50000,17660,17753.8,17625.1,17753.9,134022
20240122,134500,17790.8,17817.7,17722,17791.8,166084
20240123,50000,17776.8,17808.7,17740.9,17761.9,79806
20240123,134500,17773.8,17851.7,17764.9,17844.7,154566
20240124,50000,17853.7,17911.6,17837.8,17900.7,87040
20240124,134500,17877.7,17915.6,17850.8,17877.7,131284
20240125,50000,17889.7,18064.4,17877.7,17986.5,123116
