date,time,open,high,low,close,volume
20240930,1515,22573,22674,22566,22650,6704
20240930,1530,22647,22655,22594,22611,2910
20240930,1545,22609,22645,22587,22636,2914
20240930,1600,22637,22656,22619,22622,1844
20240930,1615,22620,22627,22570,22575,2848
20240930,1630,22575,22591,22517,22586,5056
20240930,1645,22584,22602,22554,22588,2190
20240930,1700,22587,22599,22578,22598,800
20240930,1715,22590,22599,22557,22564,1454
20240930,1730,22565,22612,22540,22607,2128
20240930,1745,22602,22615,22562,22568,1186
20240930,1800,22574,22603,22573,22584,892
20240930,1815,22582,22595,22565,22574,830
20240930,1830,22573,22598,22571,22579,780
20240930,1845,22582,22591,22531,22547,1348
20240930,1900,22549,22573,22519,22558,1982
20240930,1915,22564,22570,22462,22466,4664
20240930,1930,22466,22496,22464,22475,2024
20240930,1945,22477,22504,22442,22444,2838
20240930,2000,22444,22461,22403,22407,3472
20240930,2015,22407,22476,22398,22453,3476
20240930,2030,22451,22467,22447,22459,1324
20240930,2045,22459,22466,22407,22410,2326
20240930,2100,22409,22465,22407,22443,2066
20240930,2115,22443,22484,22421,22479,2388
20240930,2130,22477,22487,22440,22472,2212
20240930,2145,22472,22516,22447,22497,7486
20240930,2200,22498,22562,22481,22484,6280
20240930,2215,22485,22497,22407,22416,6186
20240930,2230,22418,22423,22353,22415,8446
20240930,2245,22413,22463,22411,22419,4984
20240930,2300,22419,22441,22390,22401,2602
20240930,2315,22399,22452,22389,22435,3028
20240930,2330,22434,22449,22407,22427,1590
20240930,2345,22424,22431,22328,22366,5346
20241001,0,22367,22380,22346,22356,2214
20241001,15,22355,22402,22341,22389,3286
20241001,30,22391,22409,22379,22389,1338
20241001,45,22386,22392,22345,22364,1234
20241001,100,22366,22392,22361,22372,1016
20241001,115,22371,22379,22321,22321,2364
20241001,130,22323,22360,22312,22334,1814
20241001,145,22334,22352,22328,22348,962
20241001,200,22346,22417,22341,22408,2100
20241001,215,22406,22419,22336,22344,1890
20241001,230,22343,22343,22245,22274,4224
20241001,245,22271,22351,22262,22345,1968
20241001,300,22347,22374,22345,22347,1322
20241001,315,22347,22353,22324,22341,1020
20241001,330,22339,22357,22329,22344,576
20241001,345,22344,22344,22310,22340,960
20241001,400,22343,22433,22343,22404,3606
20241001,415,22403,22428,22389,22420,1350
20241001,430,22420,22458,22420,22456,1420
20241001,445,22457,22466,22446,22450,1138
20241001,500,22447,22453,22439,22449,734
20241001,850,22485,22601,22467,22594,8302
20241001,855,22593,22612,22576,22586,2988
20241001,900,22586,22641,22585,22622,3088
20241001,905,22621,22676,22611,22670,7408
20241001,910,22670,22684,22633,22638,4580
20241001,915,22638,22675,22618,22621,3724
20241001,920,22622,22635,22586,22599,3870
20241001,925,22597,22622,22581,22590,2668
20241001,930,22591,22696,22583,22670,5366
20241001,935,22667,22673,22626,22659,2802
20241001,940,22658,22676,22630,22640,2406
20241001,945,22639,22677,22629,22648,2156
20241001,950,22650,22676,22639,22659,1728
20241001,955,22659,22702,22656,22700,2414
