Date,Time,Open,High,Low,Close,Volume
20250502,1515,20062.5,20083.8,20060.6,20079,2796
20250502,1530,20080,20104.2,20077.1,20092.6,1836
20250502,1545,20091.6,20101.3,20074.2,20081,1518
20250502,1600,20080,20094.5,20066.4,20069.3,1062
20250502,1615,20069.3,20082.8,20052.8,20081,1780
20250502,1630,20081.9,20093.5,20074.2,20085.8,1168
20250502,1645,20084.8,20099.4,20081,20083.9,714
20250502,1700,20084.8,20092.6,20065.5,20068.3,1196
20250502,1715,20068.3,20088.7,20067.4,20088.7,796
20250502,1730,20086.8,20092.6,20074.2,20085.8,670
20250502,1745,20083.9,20087.7,20065.5,20080,1020
20250502,1800,20080,20083.8,20067.4,20067.4,670
20250502,1815,20068.3,20076,20062.5,20071.2,590
20250502,1830,20072.2,20085.8,20063.5,20081,838
20250502,1845,20081.9,20084.8,20035.3,20046,1744
20250502,1900,20044,20051.8,20037.3,20043.1,912
20250502,1915,20043.1,20062.4,20037.3,20040.2,940
20250502,1930,20040.2,20061.5,20039.2,20054.7,704
20250502,1945,20055.7,20060.5,20044.1,20060.6,798
20250502,2000,20061.5,20077,20048.9,20070.3,946
20250502,2015,20070.3,20090.6,20066.4,20077.1,974
20250502,2030,20076.1,20087.7,20068.4,20078,866
20250502,2045,20081,20202.3,20081,20185.9,7166
20250502,2100,20188.8,20272.3,20180.1,20262.6,5270
20250502,2115,20262.6,20290.7,20250,20266.5,3610
20250502,2130,20266.5,20269.4,20249.1,20269.4,2244
20250502,2145,20269.4,20275.2,20168.4,20188.8,8514
20250502,2200,20188.8,20205.3,20110.2,20166.4,7804
20250502,2215,20164.5,20208.2,20151,20195.6,4482
20250502,2230,20195.6,20217.9,20160.7,20195.6,3794
20250502,2245,20197.5,20202.3,20172.3,20186.8,1678
20250502,2300,20186.8,20231.5,20179.1,20229.6,2536
20250502,2315,20229.6,20252.9,20197.6,20210.2,3074
20250502,2330,20206.3,20229.5,20186.9,20192.7,1626
20250502,2345,20192.7,20222.7,20182,20217.9,1348
20250503,0,20217,20240.2,20207.3,20231.5,1318
20250503,15,20231.5,20303.4,20225.8,20284,6432
20250503,30,20284,20284.9,20256.8,20259.7,2008
20250503,45,20259.7,20282,20256.8,20274.3,1306
