Date,Open,High,Low,Close,Share,Money,Numb
1999/1/5,6310.41 ,6310.41 ,6111.64 ,6152.43 ,1377116000,43992233870,317732
1999/1/6,6082.02 ,6280.93 ,5988.06 ,6199.91 ,1999194031,63645471257,455095
1999/1/7,6280.38 ,6409.55 ,6181.62 ,6404.31 ,2631142753,85192629099,564000
1999/1/8,6371.34 ,6492.87 ,6371.34 ,6421.75 ,2864094997,98469450257,611080
1999/1/11,6472.02 ,6492.90 ,6392.49 ,6406.99 ,2180092599,87234393837,490124
1999/1/12,6429.54 ,6441.79 ,6357.11 ,6363.89 ,2321575452,85696810488,535006
1999/1/13,6293.59 ,6365.60 ,6292.55 ,6319.34 ,1945489432,70776337686,464218
1999/1/14,6295.99 ,6295.99 ,6187.32 ,6241.32 ,1934394834,74028012785,460997
1999/1/15,6190.95 ,6454.60 ,6176.09 ,6454.60 ,2400453910,87305498159,557511
1999/1/16,6529.77 ,6577.92 ,6483.30 ,6483.30 ,3238349776,1.26556E+11,726407
1999/1/18,6436.17 ,6477.44 ,6377.25 ,6377.25 ,1701343000,57836536090,395549
1999/1/19,6358.88 ,6421.78 ,6323.89 ,6343.36 ,1670822156,57036224917,395606
1999/1/20,6355.15 ,6360.75 ,6292.00 ,6310.71 ,1421238191,51099855841,349918
1999/1/21,6332.68 ,6424.54 ,6330.65 ,6332.20 ,1841648963,68372187422,438970
1999/1/22,6303.86 ,6328.31 ,6221.24 ,6228.95 ,1527828313,52794001750,379769
1999/1/25,6142.73 ,6161.80 ,6018.98 ,6033.21 ,1474264027,51165608529,360660
1999/1/26,6083.57 ,6115.64 ,5987.42 ,6115.64 ,1420995160,48810485953,353893
1999/1/27,6161.78 ,6204.46 ,6129.40 ,6138.87 ,1719795273,62372980151,423507
1999/1/28,6110.82 ,6145.77 ,6059.54 ,6063.41 ,1385851735,40840610538,326223
1999/1/29,6090.44 ,6090.44 ,5975.48 ,5984.00 ,1549853559,51839976457,370007
1999/1/30,5949.45 ,6076.41 ,5949.45 ,5998.32 ,1567688446,51812458224,387585
1999/2/1,5948.35 ,5948.35 ,5862.79 ,5862.79 ,1240482000,39796409180,302567
1999/2/2,5892.93 ,5892.93 ,5726.25 ,5749.64 ,1490305138,44866454029,355960
1999/2/3,5658.01 ,5772.89 ,5596.58 ,5743.86 ,1830473583,57344305439,435202
1999/2/4,5711.80 ,5747.47 ,5511.85 ,5514.89 ,1976149937,56719667256,447215
1999/2/5,5506.55 ,5625.65 ,5422.66 ,5474.79 ,2162868009,60790862671,466297
1999/2/6,5572.69 ,5710.18 ,5515.67 ,5710.18 ,2364285320,67581411100,514561
1999/2/8,5784.14 ,5869.15 ,5757.61 ,5822.98 ,2422768000,74191432860,522064
1999/2/9,5798.92 ,5798.92 ,5723.73 ,5723.73 ,1787197352,47746816765,400355
